Phi[deg],Theta[deg],dB(GainTotal)
-0,0,-6.41821
1,0,-6.41821
2,0,-6.41821
3,0,-6.41821
4,0,-6.41821
5,0,-6.41821
6,0,-6.41821
7,0,-6.41821
8,0,-6.41821
9,0,-6.41821
10,0,-6.41821
11,0,-6.41821
12,0,-6.41821
13,0,-6.41821
14,0,-6.41821
15,0,-6.41821
16,0,-6.41821
17,0,-6.41821
18,0,-6.41821
19,0,-6.41821
20,0,-6.41821
21,0,-6.41821
22,0,-6.41821
23,0,-6.41821
24,0,-6.41821
25,0,-6.41821
26,0,-6.41821
27,0,-6.41821
28,0,-6.41821
29,0,-6.41821
30,0,-6.41821
31,0,-6.41821
32,0,-6.41821
33,0,-6.41821
34,0,-6.41821
35,0,-6.41821
36,0,-6.41821
37,0,-6.41821
38,0,-6.41821
39,0,-6.41821
40,0,-6.41821
41,0,-6.41821
42,0,-6.41821
43,0,-6.41821
44,0,-6.41821
45,0,-6.41821
46,0,-6.41821
47,0,-6.41821
48,0,-6.41821
49,0,-6.41821
50,0,-6.41821
51,0,-6.41821
52,0,-6.41821
53,0,-6.41821
54,0,-6.41821
55,0,-6.41821
56,0,-6.41821
57,0,-6.41821
58,0,-6.41821
59,0,-6.41821
60,0,-6.41821
61,0,-6.41821
62,0,-6.41821
63,0,-6.41821
64,0,-6.41821
65,0,-6.41821
66,0,-6.41821
67,0,-6.41821
68,0,-6.41821
69,0,-6.41821
70,0,-6.41821
71,0,-6.41821
72,0,-6.41821
73,0,-6.41821
74,0,-6.41821
75,0,-6.41821
76,0,-6.41821
77,0,-6.41821
78,0,-6.41821
79,0,-6.41821
80,0,-6.41821
81,0,-6.41821
82,0,-6.41821
83,0,-6.41821
84,0,-6.41821
85,0,-6.41821
86,0,-6.41821
87,0,-6.41821
88,0,-6.41821
89,0,-6.41821
90,0,-6.41821
91,0,-6.41821
92,0,-6.41821
93,0,-6.41821
94,0,-6.41821
95,0,-6.41821
96,0,-6.41821
97,0,-6.41821
98,0,-6.41821
99,0,-6.41821
100,0,-6.41821
101,0,-6.41821
102,0,-6.41821
103,0,-6.41821
104,0,-6.41821
105,0,-6.41821
106,0,-6.41821
107,0,-6.41821
108,0,-6.41821
109,0,-6.41821
110,0,-6.41821
111,0,-6.41821
112,0,-6.41821
113,0,-6.41821
114,0,-6.41821
115,0,-6.41821
116,0,-6.41821
117,0,-6.41821
118,0,-6.41821
119,0,-6.41821
120,0,-6.41821
121,0,-6.41821
122,0,-6.41821
123,0,-6.41821
124,0,-6.41821
125,0,-6.41821
126,0,-6.41821
127,0,-6.41821
128,0,-6.41821
129,0,-6.41821
130,0,-6.41821
131,0,-6.41821
132,0,-6.41821
133,0,-6.41821
134,0,-6.41821
135,0,-6.41821
136,0,-6.41821
137,0,-6.41821
138,0,-6.41821
139,0,-6.41821
140,0,-6.41821
141,0,-6.41821
142,0,-6.41821
143,0,-6.41821
144,0,-6.41821
145,0,-6.41821
146,0,-6.41821
147,0,-6.41821
148,0,-6.41821
149,0,-6.41821
150,0,-6.41821
151,0,-6.41821
152,0,-6.41821
153,0,-6.41821
154,0,-6.41821
155,0,-6.41821
156,0,-6.41821
157,0,-6.41821
158,0,-6.41821
159,0,-6.41821
160,0,-6.41821
161,0,-6.41821
162,0,-6.41821
163,0,-6.41821
164,0,-6.41821
165,0,-6.41821
166,0,-6.41821
167,0,-6.41821
168,0,-6.41821
169,0,-6.41821
170,0,-6.41821
171,0,-6.41821
172,0,-6.41821
173,0,-6.41821
174,0,-6.41821
175,0,-6.41821
176,0,-6.41821
177,0,-6.41821
178,0,-6.41821
179,0,-6.41821
180,0,-6.41821
-0,1,-6.31883
1,1,-6.31546
2,1,-6.31212
3,1,-6.30881
4,1,-6.30554
5,1,-6.3023
6,1,-6.2991
7,1,-6.29593
8,1,-6.2928
9,1,-6.2897
10,1,-6.28665
11,1,-6.28363
12,1,-6.28065
13,1,-6.27772
14,1,-6.27483
15,1,-6.27198
16,1,-6.26917
17,1,-6.26641
18,1,-6.26369
19,1,-6.26103
20,1,-6.2584
21,1,-6.25583
22,1,-6.2533
23,1,-6.25082
24,1,-6.2484
25,1,-6.24602
26,1,-6.2437
27,1,-6.24142
28,1,-6.2392
29,1,-6.23703
30,1,-6.23492
31,1,-6.23286
32,1,-6.23086
33,1,-6.22891
34,1,-6.22702
35,1,-6.22519
36,1,-6.22341
37,1,-6.22169
38,1,-6.22003
39,1,-6.21843
40,1,-6.21689
41,1,-6.21541
42,1,-6.21399
43,1,-6.21263
44,1,-6.21133
45,1,-6.21009
46,1,-6.20892
47,1,-6.20781
48,1,-6.20676
49,1,-6.20577
50,1,-6.20485
51,1,-6.20399
52,1,-6.20319
53,1,-6.20246
54,1,-6.20179
55,1,-6.20119
56,1,-6.20065
57,1,-6.20018
58,1,-6.19977
59,1,-6.19943
60,1,-6.19915
61,1,-6.19894
62,1,-6.1988
63,1,-6.19872
64,1,-6.1987
65,1,-6.19875
66,1,-6.19887
67,1,-6.19905
68,1,-6.1993
69,1,-6.19962
70,1,-6.19999
71,1,-6.20044
72,1,-6.20095
73,1,-6.20153
74,1,-6.20217
75,1,-6.20287
76,1,-6.20364
77,1,-6.20448
